Model,Accuracy,Precision,Recall,F1-Score,Specificity,ROC-AUC,TN,FP,FN,TP,Training_Time
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,102,0,0,2051,0.03069472312927246
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,102,0,0,2051,0.2133336067199707
GradientBoostingClassifier,1.0,1.0,1.0,1.0,1.0,1.0,102,0,0,2051,1.3514068126678467
AdaBoostClassifier,1.0,1.0,1.0,1.0,1.0,1.0,102,0,0,2051,0.01881122589111328
XGBClassifier,1.0,1.0,1.0,1.0,1.0,1.0,102,0,0,2051,0.18216490745544434
LogisticRegression,0.9972131908964236,1.0,0.9970745977571916,0.99853515625,1.0,0.999976099654879,102,0,6,2045,0.026706695556640625
LGBMClassifier,0.9986065954482118,0.9990253411306043,0.999512432959532,0.9992688276870583,0.9803921568627451,0.9999665395168306,100,2,1,2050,1.391113042831421
ExtraTreesClassifier,0.9967487227124942,0.9990234375,0.9975621647976597,0.9982922664064406,0.9803921568627451,0.9997944570319595,100,2,5,2046,0.15717768669128418
SVC,0.995355318160706,0.9995105237395986,0.9956118966357874,0.9975574010747436,0.9901960784313726,0.9997848968939111,101,1,9,2042,0.9796936511993408
GaussianNB,0.07849512308406874,0.971830985915493,0.03364212579229644,0.06503298774740811,0.9803921568627451,0.9801149128593416,100,2,1982,69,0.004664897918701172
KNeighborsClassifier,0.9888527635856944,0.9884337349397591,1.0,0.9941832283082889,0.7647058823529411,0.9654902916798118,78,24,0,2051,0.000873565673828125
